occ_sil_path,occ_sil_video_len,gt_sli_path,gt_sil_video_len
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/090,33,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/090,33
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/018,86,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/018,86
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/054,35,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/054,35
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/180,57,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/180,57
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/036,41,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/036,41
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/000,37,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/000,37
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/144,41,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/144,41
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/072,36,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/072,36
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/126,49,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/126,49
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/108,36,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/108,36
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-03/162,48,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-03/162,48
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/036,37,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/036,37
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/144,57,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/144,57
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/108,37,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/108,37
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/090,33,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/090,33
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/180,42,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/180,42
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/072,33,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/072,33
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/000,61,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/000,61
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/162,37,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/162,37
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/054,55,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/054,55
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/018,33,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/018,33
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-01/126,49,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-01/126,49
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/018,59,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/018,59
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/072,36,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/072,36
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/144,41,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/144,41
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/054,28,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/054,28
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/108,37,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/108,37
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/180,36,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/180,36
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/090,34,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/090,34
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/036,94,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/036,94
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/126,51,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/126,51
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/162,39,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/162,39
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/nm-02/000,104,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/nm-02/000,104
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/054,50,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/054,50
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/090,33,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/090,33
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/018,71,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/018,71
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/126,51,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/126,51
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/180,36,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/180,36
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/108,28,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/108,28
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/036,41,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/036,41
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/162,69,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/162,69
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/144,38,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/144,38
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/072,33,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/072,33
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/bg-02/000,71,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/bg-02/000,71
/home/lxc/dataset/CASIA_B/train/silhouettes_occ_cut/052/cl-02/162,29,/home/lxc/dataset/CASIA_B/train/silhouettes_cut/052/cl-02/162,29
